Playlist A, Playlist B, Feature, Cosine Similarity
8,12,Liveness,0.43
9,10,Liveness,0.58
9,11,Liveness,0.31
9,12,Liveness,0.47
10,11,Liveness,0.25
10,12,Liveness,0.44
11,12,Liveness,0.37
0,1,Valence,0.65
0,2,Valence,0.51
0,3,Valence,0.69
0,4,Valence,0.63
0,5,Valence,0.50
0,6,Valence,0.59
0,7,Valence,0.48
0,8,Valence,0.41
0,9,Valence,0.71
0,10,Valence,0.66
0,11,Valence,0.38
0,12,Valence,0.70
1,2,Valence,0.72
1,3,Valence,0.87
1,4,Valence,0.85
1,5,Valence,0.70
1,6,Valence,0.79
1,7,Valence,0.44
1,8,Valence,0.61
1,9,Valence,0.60
1,10,Valence,0.54
1,11,Valence,0.60
1,12,Valence,0.77
2,3,Valence,0.70
2,4,Valence,0.77
2,5,Valence,0.81
2,6,Valence,0.80
2,7,Valence,0.34
2,8,Valence,0.71
2,9,Valence,0.43
2,10,Valence,0.43
2,11,Valence,0.68
2,12,Valence,0.59
3,4,Valence,0.85
3,5,Valence,0.67
3,6,Valence,0.74
3,7,Valence,0.47
3,8,Valence,0.64
3,9,Valence,0.63
3,10,Valence,0.57
3,11,Valence,0.58
3,12,Valence,0.82
4,5,Valence,0.73
4,6,Valence,0.78
4,7,Valence,0.42
4,8,Valence,0.68
4,9,Valence,0.57
4,10,Valence,0.53
4,11,Valence,0.64
4,12,Valence,0.74
5,6,Valence,0.77
5,7,Valence,0.33
5,8,Valence,0.71
5,9,Valence,0.42
5,10,Valence,0.40
5,11,Valence,0.68
5,12,Valence,0.57
6,7,Valence,0.36
6,8,Valence,0.69
6,9,Valence,0.48
6,10,Valence,0.45
6,11,Valence,0.63
6,12,Valence,0.65
7,8,Valence,0.30
7,9,Valence,0.59
7,10,Valence,0.63
7,11,Valence,0.29
7,12,Valence,0.49
8,9,Valence,0.40
8,10,Valence,0.35
8,11,Valence,0.74
8,12,Valence,0.53
9,10,Valence,0.81
9,11,Valence,0.42
9,12,Valence,0.72
10,11,Valence,0.33
10,12,Valence,0.66
11,12,Valence,0.52
0,1,Tempo,0.73
0,2,Tempo,0.58
0,3,Tempo,0.76
0,4,Tempo,0.70
0,5,Tempo,0.58
0,6,Tempo,0.64
0,7,Tempo,0.54
0,8,Tempo,0.54
0,9,Tempo,0.81
0,10,Tempo,0.76
0,11,Tempo,0.49
0,12,Tempo,0.87
1,2,Tempo,0.79
1,3,Tempo,0.90
1,4,Tempo,0.94
1,5,Tempo,0.79
